City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1251,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,
1253,Puerto Rondon,CO,76.93,scattered clouds,6.2805,-71.1,
1254,Luis Correia,BR,79.66,scattered clouds,-2.8792,-41.6669,
1255,Dingle,PH,81.43,overcast clouds,10.9995,122.6711,
1258,Winnemucca,US,87.85,clear sky,40.973,-117.7357,
1259,Cockburn Town,TC,82.36,few clouds,21.4612,-71.1419,
1268,Karaton,ID,83.95,broken clouds,-6.3424,106.1045,
1270,Ewa Beach,US,87.75,overcast clouds,21.3156,-158.0072,
1277,Ruwi,OM,83.89,scattered clouds,23.5996,58.5507,
1278,Tecoanapa,MX,82.78,overcast clouds,16.5167,-98.75,
1280,Marzuq,YE,79.45,broken clouds,14.4,46.4667,
1281,Trinidad,BO,85.98,smoke,-14.8333,-64.9,
1282,Ouegoa,NC,77.0,scattered clouds,-20.35,164.4333,
1284,Hays,US,86.92,few clouds,30.0502,-98.0336,
1289,Manaus,BR,81.09,scattered clouds,-3.1019,-60.025,
1290,Rabaul,PG,84.92,overcast clouds,-4.1967,152.1721,
1291,Axim,GH,76.3,light rain,4.8699,-2.2405,
1293,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,
1294,Belmopan,BZ,85.28,overcast clouds,17.25,-88.7667,
1295,Nabire,ID,78.98,overcast clouds,-3.3667,135.4833,
1298,Tual,ID,81.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
