City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
1206,Tornio,FI,65.8481,24.1466,39.22,92,100,4.68,overcast clouds
1207,Santa Cecilia,BR,-26.9608,-50.4269,52.25,98,1,3.27,clear sky
1208,La Tuque,CA,47.4334,-72.7824,61.05,67,72,4.61,broken clouds
1209,Chifeng,CN,42.2683,118.9636,60.76,78,9,3.02,clear sky
1210,Berdigestyakh,RU,62.0989,126.6992,34.75,79,29,4.97,scattered clouds
1211,Malpe,IN,13.35,74.7167,78.1,91,71,2.3,broken clouds
1212,Buraydah,SA,26.326,43.975,82.85,24,2,8.32,clear sky
1213,Nargana,PA,9.4428,-78.5906,81.77,83,89,5.06,overcast clouds
1214,Cascais,PT,38.6979,-9.4215,66.51,73,34,1.01,scattered clouds
1215,Putina,PE,-15.4667,-69.4333,48.78,65,20,11.83,few clouds
1216,Deputatskiy,RU,69.3,139.9,28.63,85,100,18.1,light snow
1217,Shubarkuduk,KZ,49.1447,56.4872,54.05,60,98,13.15,overcast clouds
1218,Les Trois-Bassins,RE,-21.1,55.3,60.73,73,9,5.73,clear sky
1219,Poum,NC,-20.2333,164.0167,72.79,69,76,4.72,broken clouds
1220,Jardim,BR,-21.4803,-56.1381,81.66,34,19,4.47,few clouds
1221,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.79,85,13,10.13,few clouds
1222,Alexandria,EG,31.2156,29.9553,72.59,61,0,5.06,clear sky
1223,Letterkenny,IE,54.95,-7.7333,57.7,90,39,8.01,scattered clouds
1224,Spartanburg,US,34.9496,-81.9321,72.55,58,1,0.0,clear sky
1225,Faanui,PF,-16.4833,-151.75,79.12,73,6,9.24,clear sky
1226,Artyom,AZ,40.4723,50.333,66.34,79,56,19.44,broken clouds
1227,Ust-Barguzin,RU,53.45,108.9833,41.4,97,100,9.08,light rain
